"","FID","Property","Area","Status","Name","Old_name","RT_status","r_raster3","ARRIVE_MCP","POINT_X","POINT_Y","IPA","art_nat","Perimeter","Type","Purpose","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","Distance","Conversion","Maintenance"
"1223.3",56,"Anna Plains",0,"Dam","Butch Turkey Nest"," "," ",1223,0,-1123352.905,-2137905.734,0,1,0,2,"Artificial",23,28,23,36,25,36,39,41,41,50,66,36,22,24,34,17,56,35,24,30,211.2348142,12016.8522213,1857.189265726
"1189",57,"Anna Plains",0,"Dam","Tim Turkey Nest"," "," ",1189,0,-1120577.214,-2140830.757,0,1,0,2,"Artificial",23,28,23,35,25,37,38,41,42,51,67,37,21,23,33,17,54,34,24,28,212.6583671,12018.98755065,1859.367301663
"1154",58,"Anna Plains",0,"Bore","Rockys Bore 2"," "," ",1154,0,-1116039.76,-2143595.596,0,1,0,1,"Artificial",23,27,23,34,24,37,37,41,42,51,66,37,22,24,34,17,54,34,22,29,213.2826289,12019.92394335,1860.322422217
"1153",59,"Anna Plains",0,"Tank","Rocky Fibreglass Tank"," "," ",1153,0,-1120275.424,-2144561.022,0,1,0,1,"Artificial",23,28,23,31,25,37,38,41,43,51,66,37,21,23,33,16,54,33,23,28,215.9093325,12023.86399875,1864.341278725
"1153.1",60,"Anna Plains",0,"Tank","Fly Fibreglass Tank"," "," ",1153,0,-1122024.861,-2143885.14,0,1,0,1,"Artificial",23,28,23,31,25,37,38,41,43,51,66,37,21,23,33,16,54,33,23,28,216.0384452,12024.0576678,1864.538821156
"1189.1",61,"Anna Plains",0,"Dam","Marks Turkey Nest"," "," ",1189,0,-1122831.972,-2143105.793,0,1,0,2,"Artificial",23,28,23,35,25,37,38,41,42,51,67,37,21,23,33,17,54,34,24,28,215.6817554,12023.5226331,1863.993085762
"1188",62,"Anna Plains",0,"Dam","Samphire Turkey Nest"," "," ",1188,0,-1126362.187,-2141745.811,0,1,0,2,"Artificial",22,28,23,32,25,37,38,41,43,51,66,37,21,24,33,15,55,33,24,29,216.0136717,12024.02050755,1864.500917701
"1153.2",63,"Anna Plains",0,"Bore","McGoo Bore"," "," ",1153,0,-1118095.991,-2147540.775,0,1,0,1,"Artificial",23,28,23,31,25,37,38,41,43,51,66,37,21,23,33,16,54,33,23,28,217.7227672,12026.5841508,1867.115833816
"1152",64,"Anna Plains",0,"Tank","Richard Poly"," "," ",1152,0,-1126114.986,-2147073.786,0,1,0,1,"Artificial",21,26,23,32,26,36,38,41,43,51,66,37,19,25,33,15,55,32,24,29,220.6823194,12031.0234791,1871.643948682
"1187",65,"Anna Plains",0,"Tank","Eva Poly"," "," ",1187,0,-1128828.619,-2144008.295,0,1,0,1,"Artificial",21,26,24,32,27,37,38,41,44,52,67,37,19,25,34,14,55,32,24,29,219.144335,12028.7165025,1869.29083255
