ID,LONG,LAT,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
142,122.4499969,-20.45000076,27,38,23,42,37,56,49,61,57,66,79,47,39,33,57,27,74,35,44,46
143,122.5,-20.45000076,28,36,21,40,37,55,47,61,57,66,78,47,39,33,57,26,73,35,43,45
144,122.5500031,-20.45000076,28,36,21,39,35,54,47,61,56,66,78,46,39,33,56,27,73,34,43,45
145,122.5999985,-20.45000076,28,36,22,40,34,53,46,62,55,64,78,45,37,33,55,27,69,34,43,45
146,122.6500015,-20.45000076,28,36,20,39,33,53,45,63,54,62,75,44,37,32,54,25,69,34,42,45
147,122.6999969,-20.45000076,27,34,18,39,30,50,44,62,54,60,70,43,36,30,53,24,69,33,41,43
148,122.75,-20.45000076,25,33,17,38,28,51,44,62,51,57,70,41,35,30,53,24,68,33,41,41
149,122.8000031,-20.45000076,22,32,16,35,25,48,40,56,51,56,68,39,33,29,51,23,61,32,41,40
150,122.8499985,-20.45000076,21,32,16,34,25,45,36,54,48,53,65,37,32,27,50,22,61,31,39,38
151,119.1500015,-20.39999962,23,23,25,33,21,40,29,43,31,37,57,31,17,22,26,19,53,31,31,36
152,119.1999969,-20.39999962,23,22,24,31,19,38,31,41,30,37,56,32,18,22,26,19,54,31,33,38
153,119.25,-20.39999962,23,22,22,32,20,32,31,41,29,36,54,33,19,22,26,19,53,32,33,38
154,119.3000031,-20.39999962,20,22,22,33,21,29,31,38,30,37,53,33,19,21,27,19,52,30,33,37
155,119.3499985,-20.39999962,20,21,22,33,22,31,32,35,31,37,55,31,20,22,26,19,53,30,34,37
156,119.4000015,-20.39999962,20,21,22,34,23,31,29,39,31,41,56,32,20,22,27,17,53,27,36,39
157,119.4499969,-20.39999962,20,21,23,34,23,35,29,43,30,45,61,32,20,23,27,18,54,28,37,41
158,119.5,-20.39999962,19,21,24,37,23,36,30,46,31,49,64,37,19,25,26,19,53,27,38,42
159,119.5500031,-20.39999962,20,26,26,34,24,35,30,46,31,51,67,38,22,25,28,20,53,30,37,42
160,119.5999985,-20.39999962,21,27,28,33,26,39,31,47,33,53,68,40,21,25,28,20,54,30,38,42
161,119.6500015,-20.39999962,22,28,32,35,28,42,35,51,36,53,68,39,22,26,29,22,54,30,40,38
162,119.6999969,-20.39999962,23,27,33,36,28,41,35,54,36,53,68,39,24,25,30,22,51,30,39,40
163,119.75,-20.39999962,24,26,33,35,28,40,35,55,36,52,67,38,24,25,32,22,51,31,39,39
164,119.8000031,-20.39999962,21,28,35,33,26,39,34,55,36,52,67,38,25,27,32,22,51,32,40,40
165,119.8499985,-20.39999962,21,28,33,33,26,36,33,55,34,51,67,37,25,26,32,20,51,32,39,35
166,119.9000015,-20.39999962,22,29,34,33,26,35,33,56,35,49,62,36,24,26,33,20,50,32,39,36
167,119.9499969,-20.39999962,22,29,34,32,26,35,33,52,35,50,61,35,22,26,34,19,52,32,38,35
168,120,-20.39999962,23,29,31,32,27,32,34,51,35,50,61,35,21,24,35,18,51,31,38,38
169,120.0500031,-20.39999962,23,29,31,31,27,30,34,47,34,50,60,34,21,24,33,16,53,31,37,40
170,120.0999985,-20.39999962,23,27,30,32,25,33,35,48,34,48,59,35,21,25,32,16,55,30,37,40
171,120.1500015,-20.39999962,23,27,28,31,25,31,32,48,34,47,58,35,21,26,31,16,55,30,37,40
172,120.1999969,-20.39999962,22,27,27,32,23,32,32,47,34,47,58,36,21,27,32,17,56,30,36,39
173,120.25,-20.39999962,23,30,26,32,22,34,34,45,37,48,59,37,22,29,34,18,58,27,37,38
174,120.3000031,-20.39999962,22,31,26,32,22,38,36,46,39,50,61,38,22,30,36,19,56,26,35,41
175,120.3499985,-20.39999962,22,33,25,31,24,39,36,45,42,50,61,38,23,30,37,21,57,26,35,38
176,120.4000015,-20.39999962,22,32,25,32,25,43,36,46,42,51,60,37,24,29,38,20,55,26,34,37
177,120.4499969,-20.39999962,25,31,25,32,26,43,37,46,42,50,60,37,24,31,39,20,57,25,34,39
178,120.5,-20.39999962,25,29,25,32,26,42,38,46,43,53,60,36,26,32,39,19,57,26,35,40
179,120.5500031,-20.39999962,23,28,26,32,25,45,38,48,43,54,61,38,25,31,40,19,59,25,34,40
180,120.5999985,-20.39999962,22,26,29,33,24,45,40,46,43,55,62,39,25,31,40,20,59,26,36,40
181,120.6500015,-20.39999962,23,26,28,33,24,45,40,47,43,52,62,39,25,32,40,23,58,26,35,40
182,120.6999969,-20.39999962,24,26,28,33,24,45,39,47,43,54,61,39,25,32,41,24,57,26,35,41
183,120.75,-20.39999962,25,25,26,33,24,45,39,50,44,53,60,40,25,31,42,25,56,28,35,41
184,120.8000031,-20.39999962,24,24,24,31,24,47,37,49,44,54,60,41,24,31,42,27,56,30,33,40
185,120.8499985,-20.39999962,21,25,21,31,26,47,37,49,44,52,59,41,25,30,42,28,55,31,33,40
186,120.9000015,-20.39999962,21,24,19,31,26,46,37,50,44,52,59,42,23,31,42,27,53,31,34,38
187,120.9499969,-20.39999962,21,24,20,31,26,46,37,47,43,50,59,43,22,31,42,26,53,32,34,38
188,121,-20.39999962,20,24,17,31,25,46,37,48,43,50,57,42,22,31,43,24,54,31,32,36
189,121.0500031,-20.39999962,20,23,16,30,25,46,38,49,44,48,56,42,21,31,43,24,56,29,31,36
190,121.0999985,-20.39999962,20,24,16,30,26,45,39,49,44,47,56,41,22,32,42,25,56,29,31,34
191,121.1500015,-20.39999962,21,24,16,27,25,44,38,48,46,48,56,41,22,32,42,25,55,29,30,33
192,121.1999969,-20.39999962,21,23,17,28,25,44,39,48,45,47,55,41,22,32,42,25,57,29,31,33
193,121.25,-20.39999962,21,23,17,28,24,44,39,49,45,47,55,40,22,32,42,26,57,30,32,34
194,121.3000031,-20.39999962,22,23,17,28,24,44,39,47,45,48,54,40,26,33,42,27,60,30,32,35
195,121.3499985,-20.39999962,24,24,18,30,24,44,39,48,45,50,59,41,27,34,44,27,61,30,32,37
196,121.4000015,-20.39999962,24,24,18,33,26,45,41,48,45,54,63,43,29,34,44,27,64,31,36,38
197,121.4499969,-20.39999962,25,27,20,38,29,46,41,54,48,57,65,44,33,34,46,22,64,32,37,39
198,121.5,-20.39999962,24,29,24,40,30,47,44,59,52,59,67,44,36,35,47,24,68,37,37,42
199,121.5500031,-20.39999962,24,29,25,40,31,51,44,62,52,61,73,44,37,36,47,23,72,38,37,43
200,121.5999985,-20.39999962,23,30,27,41,32,51,47,64,53,65,74,46,36,36,48,22,73,39,40,42
201,121.6500015,-20.39999962,23,30,27,42,33,52,48,64,53,65,76,47,36,36,50,23,76,40,40,43
202,121.6999969,-20.39999962,24,31,28,43,34,52,49,64,53,65,76,47,37,37,52,23,76,39,43,43
203,121.75,-20.39999962,25,30,29,43,34,52,48,66,53,65,77,47,37,37,52,23,79,39,43,42
204,121.8000031,-20.39999962,25,31,28,43,34,53,48,65,52,65,77,46,36,37,53,25,78,39,43,43
205,121.8499985,-20.39999962,25,31,25,43,36,54,48,64,53,65,79,46,36,37,54,25,77,39,43,43
206,121.9000015,-20.39999962,25,32,25,44,37,54,50,63,53,65,80,47,39,38,55,25,78,39,42,44
207,121.9499969,-20.39999962,26,33,25,44,38,53,49,63,53,65,80,47,39,38,57,27,77,38,41,45
208,122,-20.39999962,25,35,26,43,38,53,49,62,53,65,82,48,40,39,58,27,78,38,41,45
209,122.0500031,-20.39999962,24,35,27,43,38,53,50,62,54,66,82,48,40,38,57,28,77,38,41,46
210,122.0999985,-20.39999962,25,36,27,43,37,53,50,62,54,68,82,48,40,38,58,28,77,37,42,48
211,122.1500015,-20.39999962,25,36,27,44,38,52,50,61,54,69,83,48,41,39,59,28,76,37,42,48
212,122.1999969,-20.39999962,26,36,26,43,37,53,49,61,54,69,84,47,40,38,59,28,76,36,44,48
213,122.25,-20.39999962,27,36,25,43,39,54,49,61,54,68,83,47,40,38,59,29,77,36,45,48
214,122.3000031,-20.39999962,27,37,25,43,39,54,49,61,54,68,83,46,40,37,58,28,76,36,45,47
215,122.3499985,-20.39999962,27,38,24,43,39,55,49,64,55,68,83,46,40,37,57,30,75,38,45,46
216,122.4000015,-20.39999962,27,40,25,43,39,55,50,63,56,68,83,46,40,37,57,29,76,38,46,45
217,122.4499969,-20.39999962,27,40,25,41,39,56,49,63,56,68,83,46,40,35,57,29,76,38,46,44
218,122.5,-20.39999962,27,39,24,39,39,55,49,63,57,66,82,46,39,34,58,28,75,39,44,45
219,122.5500031,-20.39999962,27,40,23,39,38,55,48,62,56,67,79,46,38,34,56,28,73,38,44,45
220,122.5999985,-20.39999962,27,40,24,39,36,57,46,62,55,67,79,46,38,34,56,26,72,37,44,45
221,122.6500015,-20.39999962,27,40,24,39,34,54,46,62,54,64,77,46,36,33,56,25,72,36,44,44
222,122.6999969,-20.39999962,25,38,22,39,33,51,45,61,55,63,72,44,36,32,53,26,72,36,45,44
223,122.75,-20.39999962,25,35,20,38,33,51,44,59,53,57,70,43,34,30,51,26,72,36,43,41
