FID,Property,Area,Status,Name,Old_name,RT_status,r_raster3,ARRIVE_MCP,POINT_X,POINT_Y,IPA,art_nat,Perimeter,Type,Purpose
149,Pardoo,0,Tank, ,WELL,Tank,755,0,-1267912.685,-2203300.064,0,1,0,1,Artificial
150,Pardoo,0,Tank, ,WELL,Tank,755,0,-1268723.784,-2204295.346,0,1,0,1,Artificial
151,Pardoo,0,Tank, ,WELL,Tank,756,0,-1265497.263,-2204032.535,0,1,0,1,Artificial
152,Pardoo,0,Tank, ,WELL,Tank,757,0,-1260586.342,-2202047.518,0,1,0,1,Artificial
153,Pardoo,0,Tank, ,WELL,Tank,817,0,-1256762.679,-2200604.072,0,1,0,1,Artificial
154,Pardoo,0,Tank, ,WELL,Tank,818,0,-1251272.488,-2199543.314,0,1,0,1,Artificial
155,Pardoo,0,Tank, ,WELL,Tank,818,0,-1249404.462,-2200763.874,0,1,0,1,Artificial
156,Pardoo,0,Tank, ,WELL,Tank,817,0,-1253670.295,-2201453.975,0,1,0,1,Artificial
157,Pardoo,0,Tank, ,WELL,Tank,817,0,-1255232.096,-2202203.48,0,1,0,1,Artificial
158,Pardoo,0,Tank, ,WELL,Tank,817,0,-1255167.611,-2202937.207,0,1,0,1,Artificial
159,Pardoo,0,Tank, ,WELL,Tank,614,0,-1271098.63,-2213779.435,0,1,0,1,Artificial
160,Pardoo,0,Tank, ,WELL,Tank,314,0,-1266942.619,-2234236.036,0,1,0,1,Artificial
161,Pardoo,0,Tank, ,WELL,Tank,464,0,-1267725.333,-2227593.377,0,1,0,1,Artificial
162,Mandora,0, , ,TANK, ,1073,0,-1140933.514,-2157299.485,0,1,0,1,Artificial
163,Mandora,0, , ,TANK, ,1071,0,-1151075.299,-2161540.94,0,1,0,1,Artificial
164,Mandora,0, , ,TANK, ,1031,0,-1139445.092,-2163244.014,0,1,0,1,Artificial
165,Mandora,0, , ,TANK, ,1026,0,-1166500.256,-2166888.224,0,1,0,1,Artificial
166,Mandora,0, , ,TANK, ,1031,0,-1140438.217,-2164945.873,0,1,0,1,Artificial
167,Mandora,0, , ,TANK, ,1070,0,-1155951.815,-2164382.551,0,1,0,1,Artificial
168,Mandora,0, , ,TANK, ,1072,0,-1145008.772,-2160210.869,0,1,0,1,Artificial
169,Nita Downs,0,Tank, ,TANK,Dam,1471,0,-1078865.327,-2090461.891,0,1,0,1,Artificial
170,Frazier Downs,0, , ,TANK, ,1549,0,-1087472.714,-2074860.599,0,1,0,1,Artificial
171,Frazier Downs,0, , ,TANK, ,1575,0,-1087166.587,-2067315.171,1,1,0,1,Artificial
172, ,0, , ,TANK, ,1600,0,-1086701.415,-2062219.845,1,1,0,1,Artificial
173,Frazier Downs,0, , ,TANK, ,1626,0,-1083132.799,-2056419.129,0,1,0,1,Artificial
174,Frazier Downs,0, , ,TANK, ,1626,0,-1082272.64,-2053792.735,0,1,0,1,Artificial
175,Frazier Downs,0, , ,TANK, ,1652,0,-1079893.061,-2051570.626,0,1,0,1,Artificial
176,Frazier Downs,0, , ,TANK, ,1676,0,-1074046.907,-2040055.384,0,1,0,1,Artificial
177,Frazier Downs,0, , ,TANK, ,1722,0,-1064869.109,-2031400.94,1,1,0,1,Artificial
178,Frazier Downs,0, , ,TANK, ,1549,0,-1089776.333,-2075044.551,0,1,0,1,Artificial
179,Thangoo,0,Tank, ,TANK,Tank,1871,0,-1014470.905,-1984551.554,0,1,0,1,Artificial
180,Thangoo,0,Tank, ,TANK,Tank,1893,0,-1012434.516,-1972485.847,0,1,0,1,Artificial
181,Thangoo,0,Tank, ,TANK,Tank,1822,0,-1046092.611,-2000196.138,0,1,0,1,Artificial
182,Roebuck,0,Tank, ,TANK,Tank,1932,1,-984412.2993,-1953170.793,0,1,0,1,Artificial
183,Roebuck,0,Tank, ,TANK,Tank,1919,1,-985265.2101,-1957544.261,0,1,0,1,Artificial
184,Roebuck,0,Tank, ,TANK,Tank,1918,1,-987432.6701,-1957263.287,0,1,0,1,Artificial
185,Roebuck,0,Tank, ,TANK,Tank,1955,1,-1002673.856,-1944392.311,0,1,0,1,Artificial
186,Roebuck,0,Tank, ,TANK,Tank,1957,1,-992159.5816,-1940464.7,0,1,0,1,Artificial
187,Roebuck,0,Tank, ,TANK,Tank,1943,1,-995890.7997,-1950068.454,0,1,0,1,Artificial
188,Roebuck,0,Tank, ,TANK,Tank,1958,1,-982787.5487,-1943208.333,0,1,0,1,Artificial
189,Roebuck,0,Tank, ,TANK,Tank,1916,1,-999857.0495,-1962730.233,0,1,0,1,Artificial
190,Roebuck,0,Tank, ,TANK,Tank,1908,1,-984670.0387,-1964636.625,0,1,0,1,Artificial
191,Roebuck,0,Tank, ,TANK,Tank,1925,1,-1021993.065,-1953400.673,0,1,0,1,Artificial
192,Roebuck,0,Tank, ,TANK,Tank,1928,1,-1008107.588,-1954477.383,0,1,0,1,Artificial
193,Roebuck,0,Tank, ,TANK,Tank,1940,1,-1012842.203,-1950846.175,0,1,0,1,Artificial
194,Roebuck,0,Tank, ,TANK,Tank,1940,1,-1012720.259,-1950723.737,0,1,0,1,Artificial
195,Roebuck,0,Tank, ,TANK,Tank,1940,1,-1014589.083,-1951054.378,0,1,0,1,Artificial
196,Roebuck,0,Tank, ,TANK,Tank,1940,1,-1010580.191,-1948610.648,0,1,0,1,Artificial
197,Roebuck,0,Tank, ,TANK,Tank,1940,1,-1010438.379,-1951068.975,0,1,0,1,Artificial
198,Roebuck,0,Tank, ,TANK,Tank,1941,1,-1006550.927,-1951339.819,0,1,0,1,Artificial
199, ,0, , ,TANK, ,1964,1,-1028646.697,-1936364.215,0,1,0,1,Artificial
200, ,0, , ,TANK, ,1964,1,-1029423.626,-1937444.64,0,1,0,1,Artificial
201, ,0, , ,TANK, ,1949,1,-1035079.954,-1946584.009,0,1,0,1,Artificial
202, ,0, , ,TANK, ,1949,1,-1034701.765,-1947473.367,0,1,0,1,Artificial
203,Frazier Downs,0, , ,TANK, ,1698,0,-1071081.434,-2036516.815,0,1,0,1,Artificial
204, ,0, , ,TANK, ,306,0,-1307736.733,-2243363.71,0,1,0,1,Artificial
205, ,0, , ,TANK, ,378,0,-1323250.286,-2238898.525,0,1,0,1,Artificial
206, ,0, , ,TANK, ,751,0,-1323069.762,-2213290.345,0,1,0,1,Artificial
207, ,0, , ,TANK, ,603,0,-1324366.467,-2216268.353,0,1,0,1,Artificial
208, ,0, , ,TANK, ,751,0,-1322755.079,-2211417.468,0,1,0,1,Artificial
209, ,0, , ,TANK, ,751,0,-1323939.578,-2209196.284,0,1,0,1,Artificial
210,Pardoo,0,Tank, ,TANK,Tank,233,0,-1294749,-2246352.013,0,1,0,1,Artificial
211,Pardoo,0,Tank, ,TANK,Tank,534,0,-1292827.116,-2220739.193,0,1,0,1,Artificial
212, ,0, , ,TANK, ,753,0,-1316442.898,-2208630.346,0,1,0,1,Artificial
213,Wallal Downs,0,Tank, ,BOREEQ,Tank,820,0,-1238073.833,-2196209.695,0,1,0,1,Artificial
214,Wallal Downs,0,Tank, ,BOREEQ,Tank,928,0,-1200091.797,-2181509.836,0,1,0,1,Artificial
215,Wallal Downs,0,Tank, ,BOREEQ,Tank,823,0,-1223779.71,-2192328.2,0,1,0,1,Artificial
216,Wallal Downs,0,Tank, ,BOREEQ,Tank,981,0,-1172329.545,-2177226.823,0,1,0,1,Artificial
217,Wallal Downs,0,Tank, ,BOREEQ,Tank,1025,0,-1173335.613,-2170973.799,0,1,0,1,Artificial
218,Mandora,0, , ,BOREEQ, ,982,0,-1166364.002,-2171972.145,0,1,0,1,Artificial
219,Mandora,0, , ,BOREEQ, ,1026,0,-1168084.032,-2170313.497,0,1,0,1,Artificial
220,Mandora,0, , ,BOREEQ, ,1027,0,-1165591.388,-2166275.444,0,1,0,1,Artificial
221,Wallal Downs,0,Tank, ,BOREEQ,Tank,1025,0,-1173051.738,-2166149.023,0,1,0,1,Artificial
222,Wallal Downs,0,Tank, ,BOREEQ,Tank,1024,0,-1180725.972,-2171280.918,0,1,0,1,Artificial
223,Wallal Downs,0,Tank, ,BOREEQ,Tank,979,0,-1186598.902,-2174282.495,0,1,0,1,Artificial
224,Mandora,0, , ,BOREEQ, ,1031,0,-1142418.959,-2168410.263,0,1,0,1,Artificial
225,Mandora,0, , ,BOREEQ, ,1029,0,-1150849.513,-2166958.666,0,1,0,1,Artificial
226,Mandora,0, , ,BOREEQ, ,1027,0,-1163249.792,-2166295.469,0,1,0,1,Artificial
227,Nita Downs,0,Tank, ,BOREEQ,Dam,1474,0,-1062567.31,-2090642.137,0,1,0,1,Artificial
228,Nita Downs,0,Tank, ,BOREEQ,Dam,1498,0,-1082237.689,-2086521.437,0,1,0,1,Artificial
229,Frazier Downs,0, , ,BOREEQ, ,1744,0,-1063413.175,-2026817.723,0,1,0,1,Artificial
230,Frazier Downs,0, , ,BOREEQ, ,1676,0,-1074098.555,-2039715.865,0,1,0,1,Artificial
231,Frazier Downs,0, , ,BOREEQ, ,1698,0,-1071384.007,-2036494.424,0,1,0,1,Artificial
232,Frazier Downs,0, , ,BOREEQ, ,1722,0,-1064603.72,-2031627.815,1,1,0,1,Artificial
233,Frazier Downs,0, , ,BOREEQ, ,1721,0,-1068782.352,-2027923.62,1,1,0,1,Artificial
234,Frazier Downs,0, , ,BOREEQ, ,1675,0,-1076818.259,-2041460.405,0,1,0,1,Artificial
235,Frazier Downs,0, , ,BOREEQ, ,1522,0,-1092615.448,-2081512.534,0,1,0,1,Artificial
236,Thangoo,0,Tank, ,BOREEQ,Dam,1904,0,-1003064.817,-1969033.122,0,1,0,1,Artificial
237,Thangoo,0,Tank, ,BOREEQ,Tank,1893,0,-1009495.593,-1971013.076,0,1,0,1,Artificial
238,Thangoo,0,Tank, ,BOREEQ,Tank,1840,0,-1032177.784,-1993639.741,0,1,0,1,Artificial
239,Thangoo,0,Tank, ,BOREEQ,Tank,1822,0,-1046279.705,-2000477.259,0,1,0,1,Artificial
240,Thangoo,0,Tank, ,BOREEQ,Tank,1883,0,-1008443.685,-1976974.951,0,1,0,1,Artificial
